Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2
Gasp,-1.625444561,-1.86575277,0.511366829,0.590434352,-1.787766862,-1.998730987,1.309292623,1.629799561,2.057138304,2.298277065
CG11779-RB,0.594739622,0.666029381,0.263875733,0.238909117,0.270947487,0.360982241,0.280124892,0.314174451,0.497944422,0.499476
Set,-0.786298116,-0.742554828,0.689656994,0.437334286,-0.662345989,-1.059946038,0.595599137,0.445514838,0.59062597,0.801572569
prtp,-1.221387694,-1.218094789,-1.029146346,-0.622598569,-1.275122756,-0.904521113,-0.91672535,-0.687241902,-0.106296088,-0.063710705
sqd,0.347438889,0.138159145,0.882290891,0.858378925,0.417271945,0.235604533,0.973868385,0.83090431,1.005471851,0.932665948
Fer2LCH,2.221444053,2.084948665,1.127171015,1.082702589,1.416893774,1.140516919,0.890252115,0.906274914,0.479334051,0.360869904
Inos,0.080930488,0.173894961,-0.413230454,-0.554866597,0.617392528,0.308011315,-0.642932259,-0.924727522,-0.628429986,-0.628742253
CG17896,0.348685669,0.50548448,-0.161040168,-0.202671532,0.738378743,0.362666256,-0.107197112,-0.181378456,-0.311810688,-0.302083875
,0.754459974,0.485735943,0.520447393,0.151339301,1.067501049,0.584577731,0.457016363,0.475396222,0.272859292,0.353774945
,0.687687811,0.261951979,0.279411863,0.437653878,-0.341756521,-0.156096531,-0.034928698,0.213751646,0.347212086,0.597221268
CG17333,-0.13656896,0.544188607,-0.910881556,-0.793481798,0.617016311,-0.183113626,-1.051668281,-0.471208668,-0.719257435,-0.278496093
Crc,-0.255012283,-0.668317711,0.386700602,0.21126145,-0.601868568,-0.897839088,0.301704696,0.184216808,0.437227739,0.416839742
RpS11,-1.228570749,-1.065823218,-0.249565,-0.070239295,-0.919396908,-1.30315151,-0.071572823,-0.045118805,0.310572795,0.061015775
Lis-1,-1.35280524,-1.288734181,-0.598413219,-0.650249753,-1.542584316,-1.384922757,-0.734563104,-0.616967624,-0.466456586,-0.742313465
Tret1-1,0.972030884,0.966208952,0.180911663,0.136585153,1.54399072,1.20614307,0.153027043,0.140778656,0.232783534,0.218347209
Pgi,-0.274494405,-0.229737574,-0.88565963,-0.898591962,-0.096900012,-0.266177131,-0.765572257,-0.818681141,-0.64009656,-0.738649721
dl,-1.460091803,-1.655853252,-0.461640632,-0.489665916,-1.169387698,-1.565972325,-0.313244012,0.031254025,-0.813753014,#VALUE!
CG9471-RA,-0.35812108,-0.122035928,-0.338487525,-0.204316159,-0.159879227,-0.012489941,-0.40529859,-0.413461014,-0.384677877,-0.403179324
Mal-B2,2.910003456,2.887408291,0.616357697,0.497126915,2.975960285,2.740366343,0.265676925,0.218595202,0.523762665,0.292663973
GstD9,#VALUE!,0.927896454,-0.490962958,-1.042367655,#VALUE!,#VALUE!,-0.648710902,-0.567724699,-1.319333578,-1.013625474
Top2,-2.472569286,-2.430042344,-1.385186521,-1.8358316,-1.459298176,-1.415807142,-1.648597816,-1.71259863,-0.924316775,-1.77724489
eRF1,-0.99585101,-1.435690126,-0.180429907,-0.321405213,-0.990423505,-1.326733049,-0.158123466,-0.027410268,0.151209393,0.290542363
,0.25592366,0.31973353,-0.239021172,-0.33482556,0.428356822,0.209765266,-0.526597512,-0.484549935,-0.266940737,-0.246737781
CG15093,0.4760187,0.343919426,-0.56984321,-0.610961906,0.602361857,0.175939705,-0.623109545,-0.684758398,-0.478366271,-0.236928423
Mdr65,-1.410888509,-0.982648158,-1.008333948,-1.273622148,-1.320522153,-0.662049192,-0.698037828,-1.344831382,-1.129228917,-1.13590302
RpS20,-1.349566288,-1.424920068,-0.331862717,-0.156755777,-1.187904348,-1.388733175,-0.146882609,-0.090971953,0.374622206,0.586404475
CG9231,1.162145571,1.083383588,0.399444565,0.102322191,1.070526721,0.691980751,0.260146127,0.381504883,0.435201856,0.176195095
Anp32a;Mapmodulin,-0.525164237,-1.161040168,0.3658045,0.634686193,-1.037710112,-0.684781589,0.40958102,-0.033672902,0.526168995,0.7822408
,0.376512661,0.316145742,-0.616901248,-0.532637039,0.277151611,0.097880434,-0.634665802,-0.53704726,-0.699536513,-0.497526816
CG7639,-0.266246533,-0.255150021,-0.442947779,-0.34805971,-0.104325118,3.125618042,-0.15979864,-0.142735555,-0.422230404,-0.769428058
tws,-1.53449563,-1.415922624,-1.208694347,-1.105131804,-1.263507687,-1.701247854,-1.046563399,-1.214508036,-1.136981363,-1.564179415
CG1440-RC,-2.058052362,-1.733219455,-1.048233185,-1.118225764,-1.682742247,-1.66561479,-1.056851317,-1.067848096,-0.991168936,-1.07345398
,-0.421534617,-0.373364623,-0.767855022,-0.717192525,-0.606781518,-0.525807996,-0.980113091,-0.890117958,-0.741107259,-0.778630193
Cpr97Ea,-0.908956932,-1.186229068,1.583182079,-0.09398683,-1.188331691,-1.149408577,2.100641316,1.763284085,1.148022983,2.426237914
CG15117-RB,-0.591875117,-0.288646066,0.176322773,0.223298973,-0.521929028,-0.711346136,0.147306699,0.069702167,-0.085573247,-0.111352203
aralar1,1.277925253,1.522809049,-0.234397364,-0.365406732,1.656221763,1.303634645,-0.559536754,-0.484570121,-0.346664773,-0.241594477
alpha-Cat,-1.933903919,-1.704911783,-1.406330711,-1.755453871,-2.046861433,#VALUE!,-1.373663666,-1.717477165,-1.605244423,#VALUE!
AGBE,1.042013896,1.220701417,0.123401336,0.090988888,1.265016749,1.046630748,0.005328121,0.008343459,0.175811994,0.506805024
RpS6,-1.454901463,-1.384508368,-0.44124257,-0.322866152,-1.290497608,-1.451030786,-0.163542591,-0.138933943,0.247806018,0.046421211
,-0.419815916,-0.21594837,-0.461859191,-0.417328393,0.010350188,-0.035815801,-0.627337584,-0.45349813,-0.529551639,-0.471228668
Crk,-0.205713072,-0.496122119,-0.17871429,-0.215881346,-0.314068819,-0.416153615,-0.640208982,-0.354814835,-0.26086046,-0.892606725
,-0.635046634,-0.505021247,-0.925056204,-1.178371411,-0.452155372,-0.432123608,-1.001732274,-0.941891351,-0.805282537,-1.152548215
,#VALUE!,0.020199923,-0.114378783,0.008056555,0.011924948,#VALUE!,#VALUE!,-0.287113729,-0.576862907,-0.624665802
,-0.52387758,-0.223003292,-0.618517267,-0.705005853,-0.043170151,-0.205230652,-0.514058017,-0.665706332,-0.653150874,-0.333570608
Sgt,-0.144632151,-0.472709423,0.070251922,0.014926544,-0.344391715,-0.546076864,0.043624477,0.186754085,0.343578377,0.343237247
26-29-p,-1.212835036,-1.253670033,-0.196772964,-0.454802592,-1.370564107,-1.39353882,0.075327251,-0.121753348,0.024886999,0.39462389
,-0.051548662,-0.227050219,-0.1857203,-0.167020896,-0.241918596,-0.340495528,-0.391928849,-0.24632701,-0.075824085,0.180911663
Spn42Dd,0.972619139,0.593210331,0.525467563,0.543396896,0.944033813,0.635800817,0.551097606,0.59072177,0.384933947,0.67644796
,0.736041974,0.87915681,-0.462833172,-0.598260325,0.810237431,1.73920004,-0.89204437,-0.579296636,0.027154052,0.336397656
ras,-1.857155289,-1.800324515,0.195725548,0.221567789,-1.596579562,-2.537675401,0.492622329,0.40990682,0.749834574,1.029982866
iPLA2-VIA,-1.884274217,-1.51206095,-1.600467936,-0.447072124,-1.411272174,-0.981479765,-1.621088917,-1.720849669,-2.044836012,-2.449769138
Spn42Da,-0.175680195,-0.337703338,-0.17229477,-0.085435477,-0.3980183,-0.34168339,-0.100375773,-0.168803742,-0.295145737,-0.437154365
,0.734221866,0.901726133,-0.179825123,-0.308162142,0.664664872,0.399663304,-0.494881424,-0.459615574,-0.576970507,-0.494271637
Aldh,2.211386062,2.366811773,0.809990584,0.813278405,2.200064862,2.262944235,0.21549223,0.128425389,0.368600747,0.27727066
RpS4,-1.060758375,-1.019696793,-0.026087544,0.00028851,-0.875910128,-1.235348114,0.170822399,0.222062625,0.510455622,0.41986245
,-0.619204069,-0.822707245,-0.359045967,-0.137758903,-0.927194465,-0.922182772,-0.268781995,0.000865357,-0.210996973,-0.01151526
Arc42,-0.321405213,-0.528677253,-0.516945264,-0.6041475,-0.600555435,-0.716504878,-0.840448311,-0.504509489,-0.923577725,-0.994556894
mod,-0.916180742,-0.830100647,-0.000158705,0.065296567,-0.898484385,-1.062263911,0.148869044,0.246347277,0.29372361,0.042644337
CG11722,0.551392968,0.46550437,0.243181602,0.444455046,0.59493067,0.360195695,0.318924164,0.558659484,0.670749711,0.582266953
UbcD10,0.553753689,-0.528906207,-0.001226812,-0.162864086,-0.121659167,-0.362287751,0.407950917,-0.44075294,-0.130760281,-0.366875729
,-0.844457992,-0.500421953,0.25592366,-0.31107666,-0.802713312,-0.596339613,-0.338961892,0.246590503,0.009633819,0.334453862
BcDNA.GH10614,0.788602195,0.769771739,-0.291221237,-0.342908826,0.76213617,0.548929769,-0.490942682,-0.564030106,-0.329848552,-0.391550293
Hex-C,0.230817842,0.467070757,-0.800827091,-0.811244617,#VALUE!,0.561497221,-1.198361215,-1.334607229,-0.633993989,-0.322270776
,-1.059404734,-0.844872529,-0.576432585,-0.446187343,-0.886726239,-1.158139565,-0.984530976,-1.03354,-0.744922318,-0.736436703
RpL22,-0.790858602,-0.856031969,-0.025970027,0.211759833,-1.06202292,-1.216786435,0.157561176,0.229095661,0.584962501,0.572889668
OstDelta,-1.394676353,-1.068604376,-0.367303693,-0.615485952,-1.099587199,-1.396384336,-0.422443072,-0.364366322,-0.282982775,-0.170734941
Prosalpha5,-1.012315322,-1.174328328,0.19761381,0.037874166,-0.883528775,-1.244445806,0.194087052,0.026020971,0.208142647,0.182183769
Dat,-0.165272606,-1.092678584,-0.729172084,-1.502423399,-1.00500038,-1.122742619,-0.526452042,-0.904845223,-0.887793637,-1.357344632
,1.855591108,1.491134776,1.208766947,1.134089481,1.773025765,1.642331899,1.013783815,1.09632933,1.140320585,1.150949541
Pdk,-0.843059805,-0.568066874,-0.439030762,-0.710826553,-0.597146873,-0.621688148,-0.539855079,-0.614381218,-0.563880813,-0.656489842
yps,0.268314613,0.046700587,0.724301014,0.979000971,-0.02428178,-0.26044565,1.075121841,0.89437155,1.276675317,0.838266047
Pkc53E,-2.14630769,-2.165596204,-2.283772894,-2.204831529,-2.832590686,-2.158429363,-2.665111415,-1.46438495,-1.979487131,-1.641243672
BcDNA.GH04962,-1.487216879,-1.11023055,-0.272698131,-0.303614397,-1.448114897,-1.359305042,-0.338943644,-0.166972304,-0.12469174,0.003314389
CDase,#VALUE!,-1.116754568,-0.876863573,-1.53587546,#VALUE!,#VALUE!,-1.019287343,-1.219236374,-1.324707959,-1.053583536
RpL10,-2.274110547,-2.070421068,-1.266593593,-1.090802937,-2.016015925,-2.407975986,-1.12070201,-0.962041518,-0.615110248,-0.611601032
GstE12,0.431783399,0.387913924,-0.134255348,-0.083370495,0.440420721,0.504671235,0.018206857,-0.265916903,0.15704371,0.043764442
Rpt1,-2.555544954,-2.883848203,-0.848998485,-1.189318352,-2.205031077,-2.524417006,-0.962491262,-1.068725418,-0.858070265,-0.840965063
RpL18A,-1.092370934,-1.147521676,-0.23917442,-0.098690914,-0.882092225,-1.157785446,0.066123642,0.023610215,0.614945367,0.368265483
,-1.001934508,-1.022009438,-1.746373722,-1.863021188,-1.002021188,-1.379695118,-2.103394887,-2.114597442,-2.12481758,-2.240861214
nemy,-0.364143475,-0.314876152,-1.443634351,-1.576303514,-1.415653181,-1.44359511,-1.283772894,-1.352252632,-1.205396985,-2.016833084
SpdS,0.007051943,-0.202903992,-0.877208028,-0.942002214,-0.331045825,-0.27896864,-1.074152452,-1.122271453,-0.347765927,-0.275018012
,-1.60669364,-1.492971618,-0.679064821,-0.373252498,-1.312043506,-1.063107698,-0.223980259,0.032241931,-0.212768156,-0.525932628
Cyp28a5,-0.104883545,0.046840254,-0.560196038,-0.273378011,0.887915136,-0.317516593,-0.602372253,-0.652946698,-0.701013303,-1.061239975
,0.614851162,1.02112434,-0.072149046,-0.090557131,0.970927259,0.919225654,-0.163671866,-0.167150483,-0.227708919,-0.055936192
Dhpr,0.089769309,0.004321606,-0.112287581,-0.135379998,0.097071371,0.085016673,-0.345051266,-0.264668462,0.00662118,0.044324169
ERp60,-0.871073167,-0.961957207,-0.12560433,-0.189236104,-0.943804942,-1.024677974,-0.345564459,-0.306519733,-0.131202627,-0.198659207
eEF1delta,-0.311363065,-0.398132367,0.343237247,0.442226945,-0.309627605,-0.813271266,0.57065722,0.532765783,0.870423906,1.019915368
Nep2,0.238542314,0.414568547,0.386369519,0.777956188,-0.404840107,0.264356271,0.518736548,0.818932344,0.383054501,0.335826224
RpS18,-0.964545001,-0.937850651,0.059216817,0.0360461,-0.923878774,-1.182032992,0.199122642,0.265076777,0.582941313,0.30987466
scrib,-1.868068155,-1.282754599,-0.776157369,-0.750105688,-1.875142533,-1.562260909,-1.380145679,-1.236911421,-0.685988011,-0.839699349
,-0.718829969,-0.568387737,-0.320305975,-0.468092091,-0.412558195,-0.805559884,-0.465978252,-0.398265456,-0.287800437,-0.491936505
Rpt4,-1.686220131,-1.41157918,-0.095989974,-0.172148464,-1.465898545,-1.731829136,-0.240486201,-0.380821784,0.026304324,0.087327052
,0.149259365,-0.094941829,#VALUE!,-0.167523111,-0.052386204,#VALUE!,-0.81972481,-0.398170391,-0.412673417,-1.101195728
Ef2b,-3.308001389,-3.070239295,-2.166178862,-2.228570749,-3.117286529,-3.166178862,-2.153799565,-2.013450718,-1.685895173,-1.846895108
RpS28b,-0.820514428,-0.970469372,0.054640131,0.190804468,-0.874454691,-1.270590799,0.262072288,0.232046713,0.592445077,0.403049529
RpS16,-1.282017662,-1.283562153,-0.33759395,-0.293323583,-1.297714813,-1.387977837,-0.140571067,-0.189614482,0.143654635,0.070938821
ple,-1.081094794,-0.962884903,-0.451050508,-0.872234672,-1.399654117,-1.62776107,-0.880603979,-0.850116339,-1.318649691,-1.273657028
skpA,-1.035904541,-0.789411641,-0.418542694,-0.395283404,-0.841947403,-1.033746743,-0.777195439,-0.370172468,-0.434792794,-0.171157228
EndoGI,-0.876439742,-0.714609619,-0.11397279,-0.503875162,-0.725947116,-0.798065086,-0.752680065,-0.622198802,-0.140109941,-0.407822858
RpL34b,-1.436548966,-1.44559779,-0.456622903,-0.43220147,-1.507131604,-1.738601576,-0.238102031,-0.337174708,0.12035194,-0.029323013
Cyp6g1,0.012068023,0.492827388,-0.59009318,-0.91879674,0.47342327,#VALUE!,-1.556350917,-0.948975997,-1.135459231,-1.106591189
Hrb87F,0.927213808,0.851838973,1.521804562,1.476485382,0.650213105,0.629566451,1.326422296,1.48769214,1.360420466,1.439463568
Cpr66Cb,#VALUE!,-0.663236746,0.180784391,0.387472834,-0.1681876,-0.552410225,0.907121408,0.166843964,0.327802315,0.616922242
Eip55E,-0.56984321,-0.52097644,-0.233192849,-0.349345715,-0.563987449,-0.626958781,-0.218464026,-0.219488316,-0.258114558,-0.312849706
RpL13,-1.396460293,-1.374299338,-0.312168885,-0.132767724,-1.230465204,-1.358971954,-0.119714136,-0.000144277,0.38084025,0.233151803
Msr-110,-0.418253482,-0.678672191,#VALUE!,0.93319492,-0.49047643,-0.849024471,0.007913082,0.234133396,0.225028083,0.18142064
Fkbp13,1.096059403,0.716508087,0.545770726,0.70893764,0.856547538,0.351402184,0.424707146,0.375512141,0.989792978,1.107219168
,-0.230194415,-0.449710025,0.152507948,0.44911232,-0.035874961,-0.773812105,0.161694235,0.259302621,0.290306435,0.527670916
Cyp12a4,#VALUE!,0.814837498,#VALUE!,0.154842407,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.09396575,#VALUE!
Ahcy13,-1.199421022,-1.105535316,-0.959570428,-1.059224345,-1.314409638,-1.229450008,-1.449099335,-1.176837618,-1.44445867,-1.291415443
CG6089,-0.842826906,-0.577874667,-0.120388326,0.049212535,-0.451129399,-1.120858877,0.082838815,0.003170443,0.350044566,0.467801156
Aldh-III,-1.382325375,-1.672358619,-1.486772046,-2.11478489,-1.414537452,-1.721801095,-1.865647613,-1.99240261,-1.719613752,-1.934565554
Rpn3,-1.904548119,-1.616127086,-0.160443456,-0.28056244,-1.2787586,-1.569607666,-0.045967515,-0.039651399,0.083519749,0.118891252
Tps1,-0.654194891,-0.446796801,-1.545697745,-1.585972741,-0.244104033,-0.43906988,-1.696003046,-1.64191887,-1.413422585,-1.474492346
CG32795,-0.24990807,#VALUE!,-0.42219174,#VALUE!,-0.653945166,-0.732739883,-0.289668529,-0.651495614,-0.801908223,-0.495593168
Cctgamma,-2.900987639,-2.8357801,-1.70481772,-1.956179575,-2.422443072,-1.886886298,-1.976474944,-1.298743726,-1.556478215,-1.556860178
Saf-B,-0.685570289,-0.68253384,-0.009277441,0.147046143,-0.45332034,-1.054092703,0.073820233,0.178746506,0.077242999,-0.017504669
,0.245130531,0.378067649,0.335940529,0.471135424,0.704340813,0.449217992,-0.051204813,0.383828687,1.051302489,0.973648008
Got2,1.284395681,1.389952213,0.121943734,0.266876472,1.478247041,1.474773476,-0.039058363,-0.129260475,0.038295698,-0.148608741
ade3,-1.107710015,-0.853318713,-1.490902133,-1.789461512,-0.600161729,-1.146403494,-2.118977591,-2.020984391,-1.631108755,-1.793706866
Aats-cys,-1.745696218,-1.789760775,-1.405260378,-1.420819852,-2.698154857,-1.903900105,-1.707312471,-1.183932827,-1.370153821,-1.634777801
Tig,-0.201012194,-0.301532573,0.164013889,0.253263199,-0.200398722,-0.745962342,0.022474347,0.187767747,-0.163995105,-0.092278651
,-0.678626006,-2.432220936,-2.353063197,-2.540274626,-0.82452011,#VALUE!,-1.712267677,-2.046146254,-2.249204864,-3.176055033
Cdc37,-1.617410209,-1.964319791,-0.909986693,-0.921827412,-1.686220131,-1.437994533,-0.90241617,-1.036348324,-1.183506784,-0.885393101
Npc2g,-1.252329031,-1.63518107,-1.217457237,-0.891054087,-1.396764163,-1.645119101,-1.1106978,-1.359897388,-0.789735834,-0.5239813
CG13393,-0.507787878,0.233029057,0.163112244,0.240619629,-0.358990457,#VALUE!,0.193582525,0.019203734,0.39835037,0.695459383
Ef1beta,0.055056793,0.033511102,0.749233898,0.596076424,-0.02919051,-0.383548197,0.79243893,0.8871353,1.254714968,1.282321182
Npc2a,-0.263057489,-0.122287156,-0.095527463,-0.054437241,0.543099892,#VALUE!,-0.1477614,-0.123858326,0.104470858,#VALUE!
Gclm,0.5922537,0.473631077,-0.206478622,-0.242003903,0.761966031,0.333423734,-0.565289049,-0.61340975,-0.196508425,-0.141557416
Bacc,0.197739606,0.127765328,0.335140206,0.714311468,0.007482576,-0.168446996,0.733354341,-0.203435469,0.780478089,0.513490746
Phk-3,#VALUE!,#VALUE!,#VALUE!,0.702036896,#VALUE!,#VALUE!,#VALUE!,0.293958979,0.533762671,1.25664839
CHOp24,0.538836108,0.589955195,1.215554355,1.257855464,0.447737871,0.553851968,1.282261867,1.276198865,1.269990634,1.301880253
Tango7,-1.613608406,-1.823830442,-0.836243667,-0.703078655,-1.681307167,-1.736869418,-0.879249947,-1.071785089,-0.230922275,-0.356734859
GstE1,-2.60094925,-2.43448081,-3.330189492,-2.411809476,-1.757647491,-2.61625977,-4.443602958,-4.954467563,-3.120419691,-2.53449563
Spn43Ab,-0.223205369,-0.472108933,0.221444053,0.097206246,-0.191672617,-0.298211438,0.172999473,0.239275826,0.092342769,0.178873958
Rack1,-1.549451196,-1.593180369,-0.564158084,-0.487095547,-1.554569916,-1.639759348,-0.440263476,-0.38194933,-0.015782536,0.026162654
Adam,-0.247285657,-0.38716629,0.053806444,-0.005275471,-0.371627663,-0.61791935,-0.007391072,-0.085986638,0.239031363,0.377956634
Sc2,-0.83665585,-0.530364043,-0.460409376,-0.394429812,-0.273779115,-0.657559036,-0.564712786,-0.395416231,-0.34142746,-0.112942706
Elf,-1.533451183,-1.659996118,-0.757964624,-0.805660751,-1.830074999,-1.571578854,-1.112755497,-0.75134373,-0.439421986,-0.233650785
,-2.433155627,-2.587879692,-1.045848367,-1.322072372,-1.303222713,-1.954333373,-1.753506783,-0.219790704,-1.623665158,-1.128093284
RpL5,-1.300839298,-1.311470482,-0.217624987,-0.171108497,-1.495206749,-1.253945265,0.059770581,0.082566351,0.44498504,0.316029859
mago,-0.207711011,-0.323371512,0.393526032,0.21685836,-0.242686536,-0.483440162,0.271067049,0.083928155,0.300416628,0.070801468
CaMKI,0.144176924,0.174406419,-0.142592217,-0.021716493,-0.088285412,#VALUE!,-0.524541518,-0.472269039,-0.334334362,-0.143277185
,0.03562391,-0.127888335,0.75120661,0.668300699,-0.206145724,-0.141780234,0.559442866,0.806117796,1.216237552,1.054223347
RpL4,-1.472769485,-1.488066487,-0.411521611,-0.341299512,-1.328543569,-1.693621089,-0.154120599,-0.148464818,0.255077682,0.151858817
CG9675,2.966891849,3.854095415,0.212880566,0.529171275,4.859273866,#VALUE!,1.179829491,1.298013064,1.130996745,0.440633335
RpL14,-1.136093258,-1.180691513,-0.058412871,0.022758398,-1.094433444,-1.317175039,0.048096653,0.194087052,0.570365777,0.266276823
Dlc90F,-0.165596204,-0.262071007,0.055056793,0.06377903,-0.304487165,-0.604235223,-0.250148267,-0.029838416,-0.142178208,-0.25468521
RpL23A,-0.436217081,-0.359749279,0.518434424,0.628353671,-0.420703977,-0.661661165,0.801903615,0.771716585,1.193204014,0.944033813
TfIIS,-1.431053424,-1.196872178,-0.15222753,-0.487762998,-0.571600295,-1.654580914,-0.166195051,-0.229213231,-0.255735551,0.018918982
Amy-d;Amy-p,#VALUE!,0.375512141,-0.80593817,-1.050681721,#VALUE!,#VALUE!,-0.92051607,-0.203070057,-1.542752438,-1.643540635
RpL8,-0.682510686,-0.758574689,0.129348967,0.411534715,-0.592136073,-0.915717986,0.355580147,0.414243799,0.954717448,0.518232972
glo,0.899407681,0.528171209,1.371168515,1.417866014,0.663663412,0.528371278,1.22891102,1.356988892,1.561008354,1.554392386
Asph,0.309292623,0.679063417,1.25658801,1.097003928,0.579083579,-0.147234061,1.359689831,1.403322266,2.162693432,1.5627675
Cpr49Ab,0.644410078,0.387472834,0.359858472,0.478505927,1.035483152,0.982874961,1.147957881,1.083043129,0.813606775,0.933497103
RpL31,-0.908902754,-0.967447724,0.061292338,0.037733627,-0.887793637,-1.252260295,0.116897018,0.114500293,0.577440913,0.515914256
lig,-0.870202651,-1.102651134,-0.053418844,0.063640993,-0.933710999,-0.952098715,0.036468167,0.057138304,0.28368476,0.22119655
SF2,-0.333806964,-0.197120244,0.59091335,0.714575239,-0.176593015,-0.259219198,0.349138777,0.511366829,0.625364016,0.5922537
CG5642,-2.991943445,-2.505615113,-1.692548159,-1.818426702,-2.473690759,-2.404152654,-1.265552663,-1.484227004,-1.051698188,-1.070027257
,-1.445165604,-1.46315135,-0.647128504,-1.009262921,-1.214909845,-1.540232666,-0.963475567,-1.066427362,-0.662414489,-1.256528117
Glycogenin,-2.041625001,-2.386317485,0.332622014,0.206018004,-2.13968075,-2.745164117,0.970927259,0.849038477,1.088345161,0.885027637
NAT1,-1.887419958,-2.138282789,-0.843965883,-1.04689124,-1.771864732,-1.794807701,-1.102372326,-0.731254224,-1.149408577,-0.826539921
Pgd,-1.118914924,-0.956347529,-0.866988934,-0.888327632,-1.058623209,-1.013246863,-0.970017134,-1.062776151,-0.379300993,-0.322198626
,0.896543116,1.190741268,-0.002035635,0.039699918,0.931077868,0.58870864,-0.26524053,-0.125069294,-0.241986841,-0.27861859
,0.89452677,1.075737982,-0.206212298,-0.064751486,0.913109615,0.840281941,-0.534579219,-0.428119359,0.015069322,0.266036894
Fer1HCH,2.251113109,2.431168285,1.017850662,1.158789414,1.267056318,1.288358562,0.834549424,1.009777122,0.531768207,0.397036241
TppII,-2.255942265,-2.370937195,-2.046503799,-2.056011181,-2.8303315,-2.317103144,-1.647060726,-1.795508671,-1.355239236,-1.170426425
yellow-e,0.729182941,0.368712484,0.730400845,1.154259146,0.484911487,0.538438835,0.860128514,1.098891126,0.921512501,1.05595915
pr,-1.2187662,-1.513131199,1.336854639,1.626672753,-0.995563328,-1.635898271,1.213005039,1.609187605,2.1091265,2.35069525
,0.565012181,0.656359073,0.358621314,0.476433536,0.283210618,1.34879896,0.225398337,0.184470737,-0.047666434,0.10755397
SPE,-1.68952027,-1.587966432,-0.901257065,-0.66225466,-1.462992252,-1.26143102,-1.267496341,-0.665363081,-0.975680321,-0.914548149
Obp56d,1.158660175,0.812785709,0.185486004,0.257252053,0.81262144,0.488412176,-0.167053292,-0.274459504,0.089633736,0.383386346
RpLP2,0.468426919,0.042924445,0.585347168,0.861081942,0.11209958,-0.410658359,0.838750118,0.616169466,1.308535624,1.363899952
,0.374622206,0.47736648,1.254352163,1.409092182,0.500598124,0.269751322,1.085356667,1.331762533,1.721503907,1.663162421
,-2.891964051,-2.625133007,-3.294207837,-3.536067904,-1.012082531,-2.453478375,-3.514540197,-2.76219157,-2.995966099,-2.603489746
,0.691802133,0.56832402,0.292899515,0.272620455,0.765110362,0.571531198,0.070938821,0.077653186,0.653793793,0.718262977
Eip71CD,-0.635853436,#VALUE!,#VALUE!,-0.723777309,#VALUE!,-1.115722496,#VALUE!,-1.122051628,-0.721682133,-1.089512924
Trap1,-1.350191428,-1.536586796,-0.638590956,-0.717311118,-0.634643403,-1.48713599,-0.128329801,-0.539897029,-0.582403987,-0.841973263
Mdh1,0.737513714,0.51903861,0.119289768,0.042924445,0.778124452,0.625925048,-0.144472677,-0.199371326,0.235481995,0.116763971
AcCoAS,-1.070602863,-0.929363374,-1.988847901,-2.24249878,-0.672220674,-0.915908515,-2.488349801,-2.359119984,-1.921280874,-1.817104341
Glt,1.499373945,1.000865357,0.940655398,0.951662389,1.229034117,1.113033665,1.117229582,0.687508661,1.097745622,0.843340717
Idgf4,-0.895207118,-1.142544441,-0.38193053,-0.366336303,-1.073393259,-0.97602082,-0.321242977,-0.451523918,-0.367806248,-0.557072424
R,-0.362565957,-0.082484225,0.199373961,-0.186951499,0.572889668,0.460585313,-0.003582328,0.159629186,-0.161104692,-0.204715139
RpL24,-1.020223399,-1.038272964,-0.070163564,0.07244885,-0.883981319,-1.214106339,0.108758614,0.257855464,0.728834779,0.572792677
CG18003-RC,0.103128316,0.25761413,-0.593441562,-0.652629148,0.556601082,0.224657734,-0.703924425,-0.344245189,-0.212751436,-0.604235223
p47,0.932136782,0.469156632,1.039068188,1.118957679,0.929260776,0.423847055,1.098891126,1.121347017,1.006333934,1.107353098
,-0.082805053,-0.621910149,-0.965051852,-1.096190441,-0.389148779,-0.958448603,-1.110417432,-1.082530053,-0.9772132,-1.116441741
rdhB,-0.169371473,0.09963185,-0.234821728,-0.030516084,0.394184847,0.007482576,-0.143054137,-0.23371864,-0.037576837,-0.01746086
,-0.145796843,-0.316995307,-0.085649792,-0.026792846,-0.388449877,-0.360489977,-0.27299445,-0.159299106,0.03407482,-0.168252445
Idh,-0.207144648,-0.158300556,-0.251573117,-0.227827178,-0.127525803,-0.354888635,-0.320251936,-0.403007628,-0.11023055,-0.100607788
alien,-1.595532803,-1.835419652,-1.00459508,-0.931508033,-1.794557438,-0.505103145,-1.322902243,-0.868752958,-1.041417126,-1.089666437
,-0.036096831,-0.056866324,-0.582425589,-0.602459868,0.155231116,-0.172782562,-0.889022122,-0.907765495,-0.688403885,-0.73067954
VGlut,-0.697897406,-0.507008586,-0.797713937,-0.734563104,-0.986330507,-0.397657149,-0.815478483,-0.681978236,-0.949087406,-1.046742212
RpL12,-1.93577934,-1.712031328,-0.578025416,-0.445440616,-1.526784566,-1.965502536,-0.548395869,-0.430431137,-0.164124421,-0.21635058
